Content,Video title,Video publish time,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Average view duration,Impressions,Impressions click-through rate (%)
TVyj5sYLGeE,Comparative Advantage Example Problem,"Oct 24, 2013",445,42.0292,4,0.455,0:05:40,2449,2.08
UtnWjsHRNKM,Corn Laws,"Oct 20, 2020",434,28.5635,0,0.873,0:03:56,5408,3.83
12yu514jPB4,Relevance of Operations Management to You,"Sep 1, 2020",431,22.3921,4,1.4,0:03:07,12706,1.69
IXPoOx7wZLg,Project Management Control,"Sep 15, 2017",431,7.6848,2,0.545,0:01:04,8148,1.77
jSRyc4ahrJo,Welcome to ECON 101,"Sep 1, 2017",431,8.0773,4,0.095,0:01:07,4044,1.88
0hhH1XpoDXE,Debt in Canada,"Nov 24, 2020",430,47.9534,2,1.15,0:06:41,6033,1.57
nMPeGYbjJSQ,Standard of Living F21,"Sep 7, 2021",428,58.4129,0,0.533,0:08:11,2603,1
fD0aCuo3zb4,Approaches to Decision Making,"Sep 16, 2022",424,19.4758,2,0.57,0:02:45,4065,6.91
q3GjIKSstys,Span of Control,"Sep 30, 2022",415,20.262,3,0.905,0:02:55,4455,4.09
ZQWvcBc5MYg,Properties of Indifference Curves,"Sep 9, 2020",414,46.574,2,1.247,0:06:44,4662,3.43
9ktZ6p-EnDY,Contingency Approach to Management,"Dec 5, 2022",412,14.1878,5,0.702,0:02:03,5036,6.08
j_V0X97ZZ1E,Economic Growth,"Oct 5, 2021",411,73.6789,-1,1.298,0:10:45,8247,0.52
xTh35KMgfCk,What is Money,"Nov 9, 2017",411,14.8581,2,0.107,0:02:10,2772,1.48
CN3h4hs-A00,Closed Loop Supply Chain,"Dec 5, 2022",408,20.9799,3,1.455,0:03:05,4903,6.08
eZ_cB0OZAug,Service Design,"Sep 28, 2017",407,16.0049,2,0.407,0:02:21,5862,1.6
KIakvEAxxg0,Liquidity of Money,"Nov 10, 2017",403,22.3232,0,0.226,0:03:19,4440,4.57
WZFoUGNBQ34,Current Fiscal Policy,"Nov 24, 2020",400,45.7785,-1,0.761,0:06:52,3533,1.25
-7-932V7x-4,Henri Fayol,"Sep 9, 2022",395,36.5484,6,0.973,0:05:33,4124,3.66
kQnHamhkhD8,Benefits of Perfect Competition,"Nov 10, 2020",391,34.5555,1,0.55,0:05:18,5705,3.79
370Qxd3Qyl0,Measuring Economic Growth,"Oct 5, 2017",388,31.4745,1,0.017,0:04:52,5058,2.71
OwluGcj8iBw,Indifference Curves Special Cases,"Sep 9, 2020",378,30.8732,2,1.033,0:04:54,4067,3.61
ULTgtmOZgFg,Example Problem: Excise Tax,"Nov 24, 2013",378,13.9519,0,0.455,0:02:12,2905,3.79
pIQoAFbxvmU,Types of Organizational Structures,"Oct 13, 2022",374,17.1716,2,0.523,0:02:45,4565,4.99
4Ga4XEbTW3I,Strategic Dependence and Game Theory,"Nov 25, 2020",371,41.989,2,1.571,0:06:47,3783,1.24
0vGxTqo3dZ8,Fiedler's Contingency Theory of Leadership,"Nov 7, 2022",359,15.7035,2,1.473,0:02:37,3185,5.4
Akpka-iptqw,Why Should we Care About Economics,"Sep 1, 2020",352,25.5492,1,0.41,0:04:21,2766,0.83
Dsyr9F4ZmKk,Material Requirement Planning Part 2,"Nov 22, 2016",348,11.82,1,0.432,0:02:02,5064,2.78
DAiSeyhWiAA,Mary Parker Follett,"Oct 28, 2022",346,20.6157,2,1.123,0:03:34,3681,5.16
CFfWUzlBMb0,Liquidity of Money,"Nov 10, 2020",343,29.4098,1,0.343,0:05:08,2140,1.68
RKNE6vzTzRg,Capture and Markup a Map,"Sep 15, 2020",342,14.2736,1,0.945,0:02:30,7074,2.15
PlWrBIyLtfo,Calculate Unemployment Rate,"Oct 13, 2017",340,37.2705,0,0.026,0:06:34,3365,1.04
2lt_UgXVzWw,"Determining Economic Capacity, Economic Profit, Shutdown Price, and Breakeven Price","Oct 27, 2020",337,56.0742,2,1.46,0:09:59,4427,3.48
ZoxMVyvCFXI,Monopoly,"Nov 24, 2013",337,13.5031,0,0.209,0:02:24,1466,3.34
qZfrHv5luek,Average Productivity and Marginal Productivity,"Oct 27, 2020",337,49.5757,3,1.635,0:08:49,3961,3.46
mh4joR1O5Oc,Demand Foreign Currency,"Nov 20, 2019",333,33.26,0,0.651,0:05:59,5570,1.26
1lccsLcfdAQ,Stranded on a Desert Island,"Oct 5, 2017",332,17.9726,0,0.187,0:03:14,2472,0.73
eybnIohMdAs,Example Problem: Marginal Product,"Oct 24, 2013",332,14.3114,0,0.164,0:02:35,2513,2.35
6E9TwFQQ4Ns,Flexible and Managed Float,"Nov 28, 2021",328,30.8808,-4,0.549,0:05:38,8174,0.97
DMYZp_YCYMQ,Generating Ideas and Consensus,"Nov 3, 2017",327,17.113,0,0.167,0:03:08,4383,1.1
oYdnEbMQ5Hk,Price is Right,"Sep 1, 2020",327,9.9358,3,3.746,0:01:49,7308,1.16
vBZ2Hmreor4,Equitable Income F21,"Sep 7, 2021",324,49.8254,1,0.562,0:09:13,3182,0.72
5MT29gXku7g,Technology,"Nov 17, 2017",321,18.6222,0,0.175,0:03:28,4452,0.74
_wGqYtRwNmc,Real and Nominal Income,"Sep 28, 2021",318,21.759,0,0.465,0:04:06,3222,0.93
D6MhSDji3AI,Entrepreneurial Process,"Sep 23, 2022",316,12.152,2,0.556,0:02:18,2505,7.66
p26zolzGOnU,Example Problem: Average Variable Cost,"Oct 24, 2013",315,8.3241,0,0.218,0:01:35,3059,2.81
ZqjKo1GtS4Q,Characteristics of Monopolistic Competition,"Nov 25, 2020",310,17.4225,3,0.517,0:03:22,8982,1.69
0yISLw4-aws,Example Problem: Economic Profit,"Nov 4, 2015",305,12.2318,0,0.274,0:02:24,2932,2.73
xZT7gfSDHbo,Jam Sandwich Manufacturing,,305,16.8637,1,,0:03:19,2915,0.93
sTBIjZQjUQ8,Example Problem:  Average Total Cost,"Oct 24, 2013",303,8.024,1,0.231,0:01:35,2748,2.58
MveoPQI16_I,Constructing a Value Stream Map,"Sep 29, 2020",296,24.1582,1,0.635,0:04:53,5359,1.79
DX1Aj5gTRV8,Measuring Economic Growth,"Sep 23, 2019",294,17.6578,1,0.177,0:03:36,3324,1.53
dQWsSe9jpKs,Economic Growth F21,"Sep 7, 2021",294,29.8955,0,0.544,0:06:06,2727,0.92
T5CXxYIgdm8,Loading,"Nov 22, 2016",291,14.6227,0,0.292,0:03:00,7387,1.23
jbDyJrzvAiQ,Behavioral Theory of Leadership,"Nov 7, 2022",289,16.1602,0,0.616,0:03:21,3183,5.69
44Tehz1bnVE,History of Debt,"Nov 20, 2019",288,14.1918,0,0.208,0:02:57,3638,0.38
as9HQ4gPGiQ,Standard of Living,"Sep 6, 2017",285,32.7642,0,0.073,0:06:53,1779,2.42
Badqvsrd2ME,Benefits of Trade,"Oct 20, 2020",284,17.7843,-1,0.994,0:03:45,3476,4.52
DSiTDiY8ySc,Extent of Integration,"Mar 16, 2021",283,29.3149,2,1.919,0:06:12,8784,1.25
NlqHCjO_0QM,Integration,"Nov 17, 2017",278,34.518,0,0.046,0:07:26,3295,0.76
5gDcBWAXcbE,Comparative Advantage,"Oct 20, 2020",275,65.2924,3,1.516,0:14:14,2952,3.22
zxl9EYJLoj8,Full Employment F21,"Sep 7, 2021",272,40.2577,2,0.313,0:08:52,2924,0.82
bpSus2GzDjI,Constraints,"Sep 9, 2020",271,40.3844,1,0.817,0:08:56,3257,1.87
gnRZFHhz8Zo,Short Hair and Men's Underwear,"Sep 1, 2020",271,17.7495,0,0.191,0:03:55,18215,0.37
eG9iADuGli0,Changes to Budget Line,"Sep 9, 2020",268,33.762,0,0.736,0:07:33,3136,2.84
KlXZrXnR0VU,Managed Float 2,"Dec 1, 2017",267,27.8018,0,0.044,0:06:14,3298,1.12
hUO3aZLgePM,Example Problem: Total Product,"Oct 24, 2013",267,5.6643,1,0.095,0:01:16,2733,2.38
9ApWj-M3NqM,May 4 Negotiations Update,,264,33.1328,0,,0:07:31,2,0
NWFebXQIw44,Problems with Monopolistic Competition,"Nov 25, 2020",263,17.9773,2,0.691,0:04:06,5227,2.7
J31myKniEIc,Stable Prices F21,"Sep 7, 2021",262,25.5781,-1,0.304,0:05:51,2495,0.72
JgBwsHSQk_M,Full Employment,"Sep 6, 2017",262,28.6655,0,0.181,0:06:33,2999,2.9
arilYosahx0,Example Problem: Total Cost,"Oct 24, 2013",262,5.7853,0,0.207,0:01:19,2408,1.83
bntAsMFF-oA,Measuring Economic Growth 2,"Oct 1, 2019",259,39.0613,0,0.122,0:09:02,3296,1.09
tLShU0dr4jM,Income Consumption Curve,"Sep 9, 2020",259,13.2588,0,0.909,0:03:04,3087,1.75
YuVq4NqJ35A,Problems with Monopolies,"Nov 26, 2018",258,26.2359,0,0.401,0:06:06,4523,1.53
FRjiV1G6O04,Negotiations Sept 16 2022,,252,67.7113,1,,0:16:07,0,
g8nJHqK1N2o,Determinants of Demand,"Sep 22, 2020",252,30.2686,0,0.626,0:07:12,4242,2.38
trP5QAjuKZM,Hyperinflation in Zimbabwe,"Sep 6, 2017",252,14.215,0,0.168,0:03:23,3546,1.02
MAEkT7-szhw,Positive and Normative Economics,"Sep 1, 2020",249,17.7569,1,0.503,0:04:16,5837,0.99
IHGvjF7p03Q,Bank of Canada,"Nov 10, 2017",248,28.4096,0,0.463,0:06:52,2948,1.73
AltqHYgUxnI,Determinants of Supply,"Sep 29, 2020",247,41.5073,0,0.621,0:10:04,3773,1.93
nyV3xRT6wk0,Decision Making with Uncertainty,"Sep 16, 2022",247,13.5326,1,0.588,0:03:17,2608,5.33
UdDOBMf9ej4,What is Economics,"Sep 1, 2020",245,14.003,5,0.986,0:03:25,6568,0.96
BJuZbWRi-jk,08. Calculating Consumer Surplus,"Sep 22, 2013",244,12.159,0,0.034,0:02:59,1528,2.55
L-9YoCGZuY0,Manageable Deficit and Debt F21,"Sep 7, 2021",243,34.4043,0,0.648,0:08:29,3184,0.5
8tOPfBCMlIo,Balance of International Trade F21,"Sep 7, 2021",239,29.6363,0,0.301,0:07:26,3012,0.63
CgSLcxjCOFY,Standard of Living,"Sep 4, 2020",239,24.8815,-1,0.3,0:06:14,2566,2.53
ZFoDVmjWp0M,Science of Choice,"Sep 1, 2020",238,23.3941,0,0.5,0:05:53,6016,0.88
KkX-mD-wo60,Absolute Advantage,"Oct 20, 2020",233,37.8716,0,1.29,0:09:45,2657,3.05
tQKnMi8_2Ko,Example Problem: Average Product,"Oct 24, 2013",232,6.0045,0,0.076,0:01:33,2433,1.93
looO_BCFW8c,Unemployment in Canada,"Oct 13, 2017",231,14.8366,0,0.004,0:03:51,3823,1.26
WNB8iprh44Y,Characteristics of Oligopoly and Collusion,"Nov 25, 2020",223,15.6678,1,0.43,0:04:12,6921,1.31
bWmVIQ8sAkY,"Human Resources Management - Recruiting, Training and Development, and Compensation and Benefits","Nov 7, 2022",223,11.0283,2,0.454,0:02:58,3559,3.77
iKnzJSR4VCs,Intro BUS 2110,"Sep 9, 2022",223,12.7812,8,,0:03:26,1794,2.06
hKjmNPgCucc,Product Differentiation,"Nov 25, 2020",222,14.3389,1,0.809,0:03:52,5565,1.67
xl4Y2RuQTc0,How to produce,"Sep 5, 2017",222,36.9559,2,0.062,0:09:59,3738,1.5
GBtX46dAqMU,Measuring Inflation,"Sep 28, 2017",220,37.6094,1,0.021,0:10:15,2170,1.06
X_yCIaYLQ-I,Debt,"Nov 24, 2017",220,25.4042,1,,0:06:55,2522,0.79
dL9FD06XcEY,Formalization,"Sep 30, 2022",220,8.3529,3,0.331,0:02:16,2831,4.77
zUdJAK-Q8Jc,Laffer Curve,"Oct 20, 2020",220,16.2265,0,0.293,0:04:25,2507,0.96
b8PCgK_o_wc,How to Produce,"Sep 2, 2020",219,35.5748,0,0.509,0:09:44,3297,1.18
4WRygMzoN8M,Law of Increasing Cost,"Oct 20, 2020",217,19.0233,1,0.349,0:05:15,3096,2.81
YEuLtF5W004,Cognitive Bias,"Mar 17, 2020",217,18.3577,1,0.698,0:05:04,6357,1.09
7XA4d1TlF9o,Price Discrimination,"Nov 26, 2018",212,27.3071,-1,0.25,0:07:43,4610,0.95
9R-STBNGInc,Downward Sloping Demand,"Sep 15, 2020",211,21.4343,0,0.886,0:06:05,3157,2.09
qzYWp7K-t2U,What to Produce,"Sep 2, 2020",211,23.7857,1,0.967,0:06:45,3392,1.21
1U_C9iPCigs,Short Run Costs of Production,"Oct 27, 2020",207,23.1429,2,1.786,0:06:42,2980,2.45
F0W45S7hBlw,Supply and Quantity Supplied,"Sep 29, 2020",207,29.3007,0,0.613,0:08:29,3883,1.75
kM35IpeIoZE,Price Leadership,"Nov 25, 2020",207,7.9056,2,0.256,0:02:17,3408,3.37
tjB05GJJxDc,May 6 Negotiations Update,,207,35.2495,1,,0:10:13,1,0
I2rDmvnTLcw,House's Path Goal Theory of Leadership,"Nov 7, 2022",204,10.037,1,0.527,0:02:57,2814,4.05
cgBfVbboHoI,iPhones - What determines price?,"Sep 7, 2021",200,14.7898,1,0.872,0:04:26,4925,1.06
fw71s363i80,VDI,,200,8.9398,0,,0:02:40,325,0.62
4bA-M1Luz4E,FARDC Negotiations Update September 2020,,197,20.0724,0,,0:06:06,2,0
LslnH1iRmts,Production Possibility Frontier,"Oct 20, 2020",197,22.5156,0,1.05,0:06:51,2815,2.31
UiqTzLKg4cc,Market Equilibrium,"Sep 29, 2020",197,26.7844,0,0.979,0:08:09,3000,1.63
AM0k5_eQ-Xs,Debt and Deficit,"Sep 4, 2020",195,21.0703,1,0.284,0:06:28,3590,1.64
IKeNIuoZJGg,Consumer Surplus,"Sep 15, 2020",195,23.9551,1,1.148,0:07:22,3186,1.22
F95bDoAouhM,Negotiations March 2022,,194,3.9465,0,,0:01:13,0,
mNOEXdylixI,Defining Demand,"Sep 15, 2020",194,24.0829,1,1.426,0:07:26,2643,1.74
zdAPXLf7gOE,Deriving Demand,"Sep 9, 2020",194,19.7527,0,0.608,0:06:06,2743,2.19
O_wMBgcYc6Y,Public and Common Goods,"Nov 10, 2020",193,24.7378,0,0.45,0:07:41,3466,1.93
WDGzaZawjFU,External Benefit,"Nov 17, 2020",193,35.2421,1,0.45,0:10:57,3760,1.17
cVjhJbNHDKw,Micro v Macro,"Sep 1, 2020",193,19.6885,0,0.685,0:06:07,3312,1.27
n9jV_Nz7byk,Topics in Macro,"Sep 1, 2020",191,7.5073,0,0.341,0:02:21,5822,0.48
pbmVJus4FNg,What is economics and why should I care,"Sep 4, 2017",188,9.5367,1,0.101,0:03:02,4206,0.9
hXZftfYef6g,Marginal Cost,"Oct 27, 2020",187,17.8779,0,0.866,0:05:44,2794,2.76
JLsk6bP0lP0,ALIS,"Sep 9, 2020",186,5.6557,0,1.127,0:01:49,12059,0.78
Xc-B0xClxCA,Giffen Goods,"Sep 15, 2020",186,17.0664,2,0.431,0:05:30,4562,1.27
vdh6mUz0fMo,Debt and Deficit,"Sep 6, 2017",186,13.9515,0,0.031,0:04:30,1551,2.77
ingMiXZsWvk,June 22 Update from FARDC Negotiations,,185,35.5809,1,,0:11:32,3,0
7hXBqYYqqK8,March 3 2022 FARDC Negotiations Update,,184,12.2344,0,,0:03:59,3,0
mSbuhVa-RI0,Analyzing HRM at Amazon,"Nov 7, 2022",184,10.1981,2,6.373,0:03:19,2014,6.6
se26AFucKe8,Negotiations Update 2,,182,12.0053,0,,0:03:57,5,0
5wL4SUVeR_o,What does short hair and men's underwear have to do with economics?,"Sep 1, 2017",181,7.7329,0,0.062,0:02:33,6883,1.08
C_h5YojfYGw,Determinants of Elasticity,"Sep 22, 2020",181,25.3205,1,0.522,0:08:23,3175,1.32
_naVkefCgK8,Impact of Elasticity on Total Revenue,"Sep 22, 2020",179,14.6187,0,0.344,0:04:54,3147,2.13
mSDQ72maJwA,ECON 101 Gamified,,178,17.0815,0,,0:05:45,19,0
XPOCWDBdAzI,Competition Economics,"Sep 2, 2020",174,14.0637,1,0.29,0:04:50,2639,1.06
i3JJRV9TCzk,Venezuela Economy,"Sep 6, 2017",174,14.6184,0,0.065,0:05:02,2483,0.72
vcQ-45uAnzs,FARDC Negotiations Update Nov 19,,174,11.6279,0,,0:04:00,1,0
0wmsrZUCapQ,Decision Making,"Sep 16, 2022",173,16.4382,1,0.408,0:05:42,1422,3.23
n_CUomRZqWo,Donald F Roy and Banana Time,"Oct 28, 2022",173,5.8188,0,0.356,0:02:01,1665,5.41
ju4LA09cRo0,Fundamentals of Competition Economics 2,"Sep 2, 2020",172,21.081,0,0.455,0:07:21,2496,0.68
 -Bv5LtVMlU0,Annotate PDF on iPad,"Aug 31, 2020",170,1.7993,0,0.114,0:00:38,2571,2.26
0nbVEBPVB-k,Economic Growth,"Sep 6, 2017",170,18.84,0,,0:06:38,1489,1.68
5C-A_jLm-IA,Calculating Inflation,"Sep 23, 2019",169,22.5661,0,0.089,0:08:00,2948,0.54
8yn11BaSV4w,Topics for course,"Sep 1, 2017",168,3.1796,0,0.052,0:01:08,4675,1.2
BVVFcm3oMHI,Inequality and Lack of Competition,"Nov 17, 2020",167,12.9467,-1,0.319,0:04:39,3337,1.89
LQttPxXzEp0,Fundamentals of Competition Economics 3,"Sep 2, 2020",167,22.7619,0,0.335,0:08:10,2732,0.59
i11DzCBgOPk,Fundamentals of Competition Economics 1,"Sep 2, 2020",166,22.8496,0,0.515,0:08:15,2525,0.87
py84w6Wf8tE,Instability in the Market,"Nov 17, 2020",166,19.1556,0,0.334,0:06:55,3178,1.98
IMHlBu2PdTw,Introduction to Specialization and Trade,"Oct 20, 2020",163,24.9882,0,0.616,0:09:11,2750,1.24
3VsgSr0WArA,Big Mac Index,"Nov 20, 2019",162,14.5015,0,0.414,0:05:22,4190,0.57
HXI58RhVG3U,Introduction to Elasticity,"Sep 22, 2020",162,18.6929,0,0.391,0:06:55,3117,1.41
mDLh1dggAa8,Total Product,"Oct 27, 2020",162,15.0054,0,0.796,0:05:33,2293,1.61
7t2ZvfEMcf0,Utility Maximization,"Sep 15, 2020",161,17.5497,0,0.609,0:06:32,2802,1
Y1-eTmwP_-w,External Cost 2,"Nov 17, 2020",161,17.4397,1,0.402,0:06:29,2892,1.31
n_nGTnxmHp4,Big Mac and iPhones,"Sep 14, 2017",161,9.9821,1,0.028,0:03:43,1962,0.92
xLv6ln-chVY,Charles Spaulding,"Sep 9, 2022",161,9.9516,1,0.523,0:03:42,1708,2.81
4dBsOOUpsd4,Shifting Supply and Demand,"Sep 29, 2020",159,13.3573,0,0.336,0:05:02,2796,1.72
QHaglW55Pbw,Income,"Sep 28, 2017",159,11.4573,0,0.008,0:04:19,1406,0.85
baBMsnJogtk,Why Do We Demand Foreign Currency,"Dec 1, 2017",159,18.0089,0,0.026,0:06:47,4504,1.02
ny4W0iM1KU0,Personality Tests,"Sep 16, 2022",157,16.7514,0,0.17,0:06:24,2446,1.72
Iu9lYSfHWOQ,Types of Business Ownership,"Sep 23, 2022",155,9.1824,0,0.695,0:03:33,1369,1.17
piyP6J6SEjI,Business Intelligence and Analytics,"Jun 13, 2023",154,10.3627,1,0.377,0:04:02,4534,1.87
DSepCn1F9XI,Example Problem: How Technology Increases Supply,"Nov 4, 2015",153,5.4337,0,0.033,0:02:07,1762,1.93
2hzulgXcfQg,Is Bitcoin Money,"Nov 9, 2021",152,17.861,1,0.953,0:07:03,6020,0.51
NNmpjYZpR_w,Centralization,"Oct 13, 2022",152,7.5988,0,0.189,0:02:59,2189,4.8
2FsjdEduO4Y,Game Theory,"Sep 2, 2020",149,19.554,1,0.556,0:07:52,2802,1.21
F5Ys7ODwEFY,Economics and Markets,"Sep 1, 2020",149,16.0109,2,1.229,0:06:26,6000,1.12
ccDos9Ji2DQ,Job Action,,148,18.425,1,,0:07:28,4,0
qBHh3b3Pb4A,Supply Chain Disruption,"Mar 17, 2020",148,5.1375,3,0.265,0:02:04,5810,0.84
 -nmZNAlFsIU,Income Elasticity,"Sep 22, 2020",147,16.0035,0,0.134,0:06:31,2873,1.08
5Vw72O8i1zk,Negotiations Update 1,,147,9.9432,0,,0:04:03,1,0
B81WrOVIZCM,Balance of Trade,"Sep 4, 2020",145,13.7555,1,0.141,0:05:41,2435,1.36
ZYN_N9sZGiY,Principle of Revealed Preference,"Sep 9, 2020",145,17.6058,2,0.328,0:07:17,2763,0.83
QV7ziBNZ5i4,Economic Growth,"Sep 4, 2020",141,16.4277,1,0.134,0:06:59,1991,1.41
UBnGeXCxdxE,Technology in HRM,"Nov 7, 2022",139,7.6908,0,0.242,0:03:19,2223,4.14
8HotO0r9AaU,Group Decision Making,"Sep 16, 2022",137,7.6701,0,0.118,0:03:21,2271,2.82
n7opjO5Q2vA,Impact on Supply and Cost Curves of Cutting Cost or Adopting New Technology,"Oct 27, 2020",137,11.0928,0,0.381,0:04:51,2939,1.4
Rc0EhiBPnTs,Four Drive Theory from Lawrence and Nohria,"Oct 28, 2022",136,6.538,0,0.772,0:02:53,1495,2.81
mVvUMQN1yM0,PESTEL,"Nov 14, 2022",136,7.5569,1,0.255,0:03:20,2375,2.99
pwVZekdrfSQ,Mintzberg What do Managers do,"Sep 9, 2022",136,10.5691,0,0.413,0:04:39,1862,1.88
6x_kNSSjxWo,Full Employment,"Sep 4, 2020",132,20.2958,0,0.147,0:09:13,2133,0.84
WM9tBHwb_Jo,Big Mac Index,"Dec 1, 2017",132,11.7148,0,0.003,0:05:19,4899,0.61
Hxba0jKXvqk,Profitability Part 1,"Oct 21, 2022",131,15.4201,0,0.247,0:07:03,1277,1.25
0AcgKCkVpg8,Price Ceiling,"Nov 17, 2020",130,21.3465,0,0.335,0:09:51,3287,1.03
2k1FEssos3g,Benchmarking and Scorecard,"Oct 28, 2022",129,11.0494,1,0.449,0:05:08,1506,3.05
AWcKkQVSZMo,Stables Prices,"Sep 6, 2017",128,14.2632,0,0.041,0:06:41,1329,1.05
iestz1rPUMI,Long Run Production,"Oct 27, 2020",126,25.3705,0,0.377,0:12:04,2963,1.11
ybTkHiUX344,Organizational Structure and Process Design,"Sep 30, 2022",124,6.1435,1,0.223,0:02:58,2596,2.85
eIAkLzTHT50,Trade,"Sep 6, 2017",123,12.2111,0,,0:05:57,1346,1.11
WZizTi61hWc,Price Floor,"Nov 17, 2020",120,15.3607,0,0.217,0:07:40,3051,1.05
17xS4Jwmcpo,Perfect Competition in the Long Run,"Nov 10, 2020",117,6.7145,0,0.317,0:03:26,2291,1
a65RvVot4So,Stable Prices,"Sep 4, 2020",116,10.8683,0,0.072,0:05:37,1803,1.16
907b8Mj8lZ4,Short Hair and Men's Underwear,"Aug 29, 2019",113,4.8508,-2,0.202,0:02:34,9566,0.69
QkVzT6XVKdw,Perfect Competition,"Nov 10, 2020",112,21.0343,2,0.104,0:11:16,2482,1.13
3IFFWmq2l1k,Ethical Responsibility,"Dec 5, 2022",106,6.6706,1,0.189,0:03:46,4695,1.09
5xu7p4fzR50,Examples of Choosing Suppliers,"Mar 17, 2020",106,3.1286,1,0.363,0:01:46,5979,0.79
eGlr401tprE,Defining the Market,"Oct 26, 2021",105,9.0341,0,0.461,0:05:09,4519,0.8
TQk2hZ3BWlY,Goal 1: Standard of living,"Sep 1, 2019",99,9.4926,-1,0.136,0:05:45,2621,0.95
zsTKgLc-hHo,Creating a Strategy Map and Balanced Scorecard,"Dec 3, 2022",99,4.6792,0,0.26,0:02:50,2193,2.64
x7Pau5LV1ts,Manager Competencies,"Sep 9, 2022",98,8.973,0,0.319,0:05:29,2146,1.35
3e8EemxdjSs,Collaborating with Zoom,,97,2.0415,0,,0:01:15,334,1.5
VzR3n-ksyM8,CSR,"Dec 5, 2022",94,5.6832,1,0.161,0:03:37,5822,1
ukQPbqzFyto,Max Weber,"Sep 9, 2022",94,8.3151,1,0.147,0:05:18,1399,1.22
2ccJsOPqxq0,Rescue Mission Bag,,88,10.1637,0,,0:06:55,24,62.5
Fba98TIISVU,Productivity,"Oct 21, 2022",86,9.1556,0,0.254,0:06:23,1474,1.49
pHwhfK5FZHE,Widget Production,,84,8.0421,1,,0:05:44,776,3.48
pY37klsU8Ew,Liquidity of Money,"Nov 6, 2019",84,4.4363,0,0.171,0:03:10,3107,1.22
C5sWxrYWlmA,Gamified ECON 101,"Jan 4, 2021",83,3.1068,2,,0:02:14,4167,0.77
Hy_Pv5XYXRc,Lean Manufacturing and SIPOC,"Dec 5, 2022",83,6.5755,-1,0.395,0:04:45,2210,1.81
3lMjofV8XQs,Goal 3: Full Employment,"Sep 1, 2019",82,7.2303,0,0.187,0:05:17,2396,0.71
TVJzeDCPAFo,America Airlines West Jet,,82,2.1673,0,,0:01:35,0,
yKwrcIzrNiA,Impact of Organizational  Structure on Facility Layout,"Oct 13, 2022",82,2.4114,0,0.071,0:01:45,1928,1.82
DFQ-6GIabm4,Traits of Successful Entrepreneurs,"Sep 23, 2022",80,4.3592,0,0.549,0:03:16,1882,1.12
giEI572ongg,Bank of Canada,"Nov 6, 2019",80,7.6605,0,0.22,0:05:44,3574,0.53
bAEDhH7E69M,Choosing a Supplier,"Dec 5, 2022",79,5.6923,2,0.281,0:04:19,3768,1.22
0R-j7nbSpog,Qualities of a Successful Manager,"Sep 9, 2022",78,8.7288,1,0.472,0:06:42,1984,0.81
BjI3UMv2Buo,Improving Operations,"Oct 21, 2022",78,11.5944,0,0.265,0:08:55,1710,1.87
l_sEG__d88w,Building Effective Teams,"Nov 7, 2022",77,3.041,0,0.339,0:02:22,1666,3
LUND7FBbk_E,Current Fiscal Policy,"Nov 20, 2019",75,6.7791,0,0.137,0:05:25,3874,0.9
fnUHopOHJJ4,Financial Ratios 1,"May 16, 2023",75,6.502,0,0.458,0:05:12,2826,0.88
9RVpGByZ91E,Pughs Classifications of Org Structure,"Sep 30, 2022",73,5.778,1,0.102,0:04:44,1687,1.96
1NSkPL5tYgY,"Planning Operations with Gantt Charts, Process Flow Diagrams and PERT Charts","Oct 21, 2022",71,5.5796,0,0.811,0:04:42,1545,1.17
GU_dRQrO50c,Goal 2: Economic Growth,"Sep 1, 2019",70,7.2461,0,0.067,0:06:12,2207,0.59
pZYi99QYdAI,Manager Challenges,"Sep 9, 2022",69,6.0671,0,0.139,0:05:16,1641,0.79
v2ZPSc-acPo,Financing Business Operations and the Balance Sheet,"Oct 21, 2022",69,8.3286,0,0.336,0:07:14,1870,1.6
yb_AVWo0ntI,Transactional v Transformational Leadership,"Nov 7, 2022",69,2.8566,0,0.375,0:02:29,1997,1.8
XS_2XkRQAO0,Financial Ratios 2,"May 16, 2023",68,5.8202,2,0.538,0:05:08,2710,1.07
k3OucZ99Rf4,SWOT Analysis,"Nov 14, 2022",67,2.0836,0,0.093,0:01:51,1772,1.41
uAxsJg47DoQ,Autocratic Leadership,"Oct 21, 2022",67,5.1754,0,0.377,0:04:38,1593,1.38
moWKWhcfeJw,BCG Matrix,"Nov 14, 2022",65,2.9723,0,0.105,0:02:44,1978,0.91
Yef3pKwxXSQ,Managing a Global Business,"Dec 5, 2022",63,6.1031,0,0.177,0:05:48,3952,0.48
HXHdrfz8vr8,Benefits of Going Global,"Dec 5, 2022",62,4.0358,0,0.286,0:03:54,3390,0.94
IVuuzvi8XdU,Sustainability,"Dec 5, 2022",62,1.3178,0,0.372,0:01:16,5020,0.62
RtvS1vSWdlA,Interpreting Financial Ratios,"May 16, 2023",62,2.4804,0,0.089,0:02:24,2514,0.84
YA_5QL1ABl4,"McGregor, Vroom, and Skinner Motivational Theories","Nov 7, 2022",61,3.9971,0,0.294,0:03:55,1504,2.46
yHEyulaEoyQ,Analyzing the Supply Chain,"Dec 5, 2022",59,3.1515,0,0.108,0:03:12,2779,1.15
ldUxE_-zS3U,Apple Challenge,,58,2.692,0,,0:02:47,1,0
